Year;VotingSet;AwardedTo;AwardedBy;Points
2021;SF1_Tele;Azerbaijan;Italy;5
2021;SF1_Tele;Azerbaijan;Netherlands;4
2021;SF1_Tele;Ukraine;Lithuania;12
2021;SF1_Tele;Ukraine;Slovenia;10
2021;SF1_Tele;Ukraine;Russia;12
2021;SF1_Tele;Ukraine;Sweden;7
2021;SF1_Tele;Ukraine;Australia;12
2021;SF1_Tele;Ukraine;North Macedonia;5
2021;SF1_Tele;Ukraine;Ireland;8
2021;SF1_Tele;Ukraine;Cyprus;6
2021;SF1_Tele;Ukraine;Norway;7
2021;SF1_Tele;Ukraine;Croatia;12
2021;SF1_Tele;Ukraine;Belgium;10
2021;SF1_Tele;Ukraine;Israel;8
2021;SF1_Tele;Ukraine;Romania;12
2021;SF1_Tele;Ukraine;Azerbaijan;7
2021;SF1_Tele;Ukraine;Ukraine;NA
2021;SF1_Tele;Ukraine;Malta;4
2021;SF1_Tele;Ukraine;Germany;10
2021;SF1_Tele;Ukraine;Italy;12
2021;SF1_Tele;Ukraine;Netherlands;10
2021;SF1_Tele;Malta;Lithuania;7
2021;SF1_Tele;Malta;Slovenia;5
2021;SF1_Tele;Malta;Russia;8
2021;SF1_Tele;Malta;Sweden;8
2021;SF1_Tele;Malta;Australia;10
